date,weekly_sales,year,month,week
2022-01-01,1174.84,2022,1,52
2022-01-08,1068.52,2022,1,1
2022-01-15,1172.25,2022,1,2
2022-01-22,1260.91,2022,1,3
2022-01-29,1344.16,2022,1,4
2022-02-05,1192.49,2022,2,5
2022-02-12,1264.64,2022,2,6
2022-02-19,1198.12,2022,2,7
2022-02-26,1263.65,2022,2,8
2022-03-05,1154.41,2022,3,9
2022-03-12,1113.11,2022,3,10
2022-03-19,1142.0,2022,3,11
2022-03-26,1372.42,2022,3,12
2022-04-02,1167.44,2022,4,13
2022-04-09,1226.73,2022,4,14
2022-04-16,1321.19,2022,4,15
2022-04-23,1463.3,2022,4,16
2022-04-30,1368.83,2022,4,17
2022-05-07,1272.89,2022,5,18
2022-05-14,1195.25,2022,5,19
2022-05-21,1429.06,2022,5,20
2022-05-28,1137.95,2022,5,21
2022-06-04,1109.62,2022,6,22
2022-06-11,1012.06,2022,6,23
2022-06-18,1204.85,2022,6,24
2022-06-25,1104.54,2022,6,25
2022-07-02,1068.66,2022,7,26
2022-07-09,1172.22,2022,7,27
2022-07-16,1290.33,2022,7,28
2022-07-23,1154.54,2022,7,29
2022-07-30,1116.1,2022,7,30
2022-08-06,1195.8,2022,8,31
2022-08-13,1195.97,2022,8,32
2022-08-20,933.67,2022,8,33
2022-08-27,975.27,2022,8,34
2022-09-03,838.27,2022,9,35
2022-09-10,1048.93,2022,9,36
2022-09-17,805.14,2022,9,37
2022-09-24,873.04,2022,9,38
2022-10-01,999.16,2022,10,39
2022-10-08,1229.03,2022,10,40
2022-10-15,1095.71,2022,10,41
2022-10-22,1110.37,2022,10,42
2022-10-29,1110.09,2022,10,43
2022-11-05,1191.38,2022,11,44
2022-11-12,1056.68,2022,11,45
2022-11-19,1043.71,2022,11,46
2022-11-26,1101.09,2022,11,47
2022-12-03,1213.74,2022,12,48
2022-12-10,979.52,2022,12,49
2022-12-17,1128.76,2022,12,50
2022-12-24,1157.74,2022,12,51
2022-12-31,1368.58,2022,12,52
2023-01-07,1358.45,2023,1,1
2023-01-14,1443.85,2023,1,2
2023-01-21,1483.75,2023,1,3
2023-01-28,1566.33,2023,1,4
2023-02-04,1441.16,2023,2,5
2023-02-11,1454.67,2023,2,6
2023-02-18,1460.96,2023,2,7
2023-02-25,1515.59,2023,2,8
2023-03-04,1370.42,2023,3,9
2023-03-11,1333.39,2023,3,10
2023-03-18,1357.9,2023,3,11
2023-03-25,1653.38,2023,3,12
2023-04-01,1583.35,2023,4,13
2023-04-08,1561.8,2023,4,14
2023-04-15,1651.91,2023,4,15
2023-04-22,1784.45,2023,4,16
2023-04-29,1573.29,2023,4,17
2023-05-06,1588.78,2023,5,18
2023-05-13,1595.2,2023,5,19
2023-05-20,1606.42,2023,5,20
2023-05-27,1479.9,2023,5,21
2023-06-03,1227.68,2023,6,22
2023-06-10,1376.82,2023,6,23
2023-06-17,1488.85,2023,6,24
2023-06-24,1336.47,2023,6,25
2023-07-01,1383.23,2023,7,26
2023-07-08,1306.48,2023,7,27
2023-07-15,1561.8,2023,7,28
2023-07-22,1439.41,2023,7,29
2023-07-29,1472.51,2023,7,30
2023-08-05,1329.7,2023,8,31
2023-08-12,1408.65,2023,8,32
2023-08-19,1213.9,2023,8,33
2023-08-26,1232.34,2023,8,34
2023-09-02,1168.17,2023,9,35
2023-09-09,1264.42,2023,9,36
2023-09-16,1181.22,2023,9,37
2023-09-23,1196.73,2023,9,38
2023-09-30,1290.18,2023,9,39
2023-10-07,1409.43,2023,10,40
2023-10-14,1323.18,2023,10,41
2023-10-21,1348.97,2023,10,42
2023-10-28,1304.4,2023,10,43
2023-11-04,1532.54,2023,11,44
2023-11-11,1358.16,2023,11,45
2023-11-18,1319.43,2023,11,46
2023-11-25,1288.93,2023,11,47
2023-12-02,1378.22,2023,12,48
2023-12-09,1299.07,2023,12,49
2023-12-16,1347.85,2023,12,50
2023-12-23,1389.31,2023,12,51
